浦东,黄浦,徐汇,长宁,静安,普陀,虹口,杨浦,闵行,宝山,嘉定,金山,松江,青浦,奉贤,崇明
174,83,21,7,4,1,6,2,10,4,3,0,1,15,0,3
464,257,107,36,182,77,122,26,270,35,80,0,57,67,0,20
61,15,34,4,13,7,12,2,8,4,0,0,0,1,0,0
4841,2693,1403,563,1502,423,601,701,1212,916,629,8,265,310,56,55
85,23,61,2,26,5,4,1,1,0,10,0,2,7,2,0
575,207,118,78,128,27,67,174,239,76,64,9,142,60,5,7
26,10,18,35,10,11,28,5,26,20,5,0,1,4,0,0
3605,2809,1234,590,963,485,726,1792,1388,718,556,8,505,157,26,57
104,36,22,13,3,21,4,11,7,8,3,1,6,3,0,0
378,150,258,83,140,86,98,50,135,123,77,2,22,54,10,19
17,17,12,1,9,6,4,3,18,10,3,0,0,3,0,0
4226,1556,981,404,1906,389,780,482,2383,839,687,22,469,311,20,96
20,4,38,7,8,6,2,7,27,3,9,0,2,14,0,0
519,167,20,87,64,36,113,79,104,116,67,0,115,41,5,9
3,8,24,1,8,4,1,3,12,6,1,0,2,1,0,0
7229,2406,1125,545,701,450,564,1257,1080,1836,419,25,2446,302,2,103
28,2,27,4,9,2,5,11,17,18,5,1,2,13,0,0
202,42,77,18,36,29,49,31,72,126,61,0,29,19,0,25
3,1,7,0,2,1,2,6,6,7,2,0,1,6,0,0
7026,1863,1617,641,426,439,722,1217,749,2721,670,43,738,361,7,181
59,0,14,17,5,0,15,18,20,30,8,1,3,37,8,1
510,173,120,63,107,38,97,51,83,123,125,0,35,5,0,27
21,2,7,2,6,0,4,4,17,2,4,0,0,0,0,0
5255,1437,1159,671,1546,431,542,1138,1070,2356,466,67,382,240,7,68
52,1,9,2,14,3,7,22,16,15,3,1,0,3,0,0
26,54,36,43,30,38,83,30,27,140,44,0,45,42,1,36
0,1,0,0,1,0,4,0,1,11,0,0,0,0,0,0
3571,2515,1122,434,883,367,1122,1113,650,1546,465,22,528,335,9,438
49,0,10,3,2,4,10,66,6,24,20,0,5,0,0,0
78,24,30,25,25,23,12,24,48,19,23,1,0,5,1,2
5,0,1,0,6,0,0,0,0,1,0,0,0,0,0,0
2436,927,716,354,1246,259,1092,1059,677,1658,345,25,256,284,11,453
103,0,15,1,3,2,7,0,1,23,0,1,2,0,0,0
112,88,59,9,19,11,33,35,17,19,4,2,2,1,0,21
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2362,1317,334,170,1042,268,1001,466,268,1045,279,31,177,204,3,173
97,0,6,19,15,9,22,0,2,18,0,0,2,0,0,0
95,26,43,16,32,18,67,13,21,16,42,1,20,5,1,2
5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1950,1286,1053,384,1008,138,905,733,351,945,356,20,145,132,3,35
66,0,0,0,7,1,0,0,1,21,0,0,5,0,0,0
42,8,50,4,34,32,15,11,8,26,9,0,14,11,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1897,1149,388,319,1143,86,993,740,372,1067,246,18,110,110,25,269
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,10,1,17,5,11,2,3,24,3,0,10,2,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588,1046,352,141,886,87,544,320,378,1021,218,11,76,107,2,307
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,3,35,0,34,5,58,7,5,21,0,0,8,3,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1510,976,368,210,632,83,579,432,357,878,254,12,80,90,12,75
10,8,3,0,0,0,21,0,0,11,0,0,4,1,0,0
24,3,14,0,5,1,5,5,7,17,1,0,28,7,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1122,914,376,141,594,78,348,354,259,591,275,7,39,84,8,134
2,43,3,6,2,0,0,0,0,12,0,0,0,0,2,1
33,1,5,2,9,3,3,6,3,16,0,0,27,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
833,877,335,92,548,54,345,388,237,580,170,4,53,41,5,98
1,35,2,4,0,0,2,6,0,6,1,0,3,0,1,1
23,3,5,0,9,2,11,4,3,5,0,0,10,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
837,742,315,110,524,88,307,369,260,436,210,2,35,66,1,55
2,12,2,6,1,0,3,0,0,4,1,0,2,0,0,0
17,3,2,0,8,0,12,3,2,8,3,0,5,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
645,733,313,84,483,78,251,362,226,479,192,1,41,56,10,47
4,4,1,2,2,0,1,2,0,2,0,0,4,0,1,0
19,16,7,1,1,2,6,7,10,3,0,0,3,2,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
544,566,309,64,468,72,260,395,281,479,198,4,19,166,19,99
7,1,2,0,0,0,2,0,0,2,0,1,3,0,0,0
22,7,6,0,3,3,14,1,7,13,0,0,3,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
641,575,288,62,529,51,247,606,213,312,108,0,26,31,9,51
6,0,1,0,0,0,1,0,1,0,0,0,0,0,2,0
19,7,7,2,16,3,16,6,4,8,1,0,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
656,442,283,70,581,44,263,558,216,307,109,2,22,48,2,13
2,0,1,0,1,0,0,0,0,0,0,0,5,0,0,0
14,5,12,0,7,6,12,9,4,7,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567,377,107,52,370,43,238,355,315,137,130,1,19,53,5,6
1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
3,3,2,0,5,0,12,1,0,1,1,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,245,60,14,191,25,88,135,72,131,14,0,13,16,0,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0,0,3,0,13,0,0,7,1,0,3,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,227,64,39,158,27,84,131,88,118,72,3,10,34,4,4
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
10,0,3,0,11,1,20,6,1,7,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,274,88,59,172,27,79,515,128,155,67,1,15,19,1,6
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,1,0,12,1,14,2,4,7,3,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,219,82,37,150,24,74,397,117,145,37,7,8,15,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,2,0,0,21,0,2,7,2,8,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,168,87,48,116,26,64,303,75,98,32,16,6,26,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,8,0,12,1,0,2,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,83,59,15,69,6,57,321,35,78,25,3,13,9,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,5,0,2,13,1,5,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,79,52,24,48,8,47,240,39,71,18,5,9,19,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,1,0,1,2,6,7,0,2,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,66,40,17,56,11,67,190,52,43,8,9,13,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,0,0,5,0,4,11,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,42,41,18,81,18,135,291,35,34,4,1,6,12,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,2,0,0,6,1,3,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,31,42,15,77,14,129,138,11,31,0,0,12,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,1,0,0,9,0,5,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,38,39,27,60,12,113,116,13,28,1,0,5,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,2,1,6,2,0,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,29,26,14,50,11,82,108,13,25,1,0,7,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,1,0,4,1,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,21,21,26,36,8,51,90,22,18,1,0,1,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,1,0,5,0,0,4,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,20,20,16,36,9,36,70,21,19,4,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,2,1,3,3,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,18,16,8,28,5,25,49,11,15,3,0,2,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,11,1,1,3,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28,9,10,5,18,4,9,33,5,6,3,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,2,0,0,5,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,4,8,6,10,0,11,24,6,5,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,0,3,1,8,2,8,17,3,5,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,0,0,1,5,0,5,6,3,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
